tipo;nombre;stream   
APP;QVD - Altas Masivas - EBS-S FA (Inc.);APP QVD STAGE 1
APP;QVD - Alimento Consumo - Mtech FMIN(Inc.);APP QVD STAGE 1
APP;QVD - Ajustes - EBS AR (Inc.) - EBS-S;APP QVD STAGE 1
APP;QVD - Activos Fijos Costo Inicial Seguros - Excel Origenes (No Inc.);APP QVD STAGE 1
APP;QVD -  Lote Tipo Documento - EBS-S(CarlosM) - INCREMENTAL;APP QVD STAGE 1
APP;DP - Detalle Intercompañia - EBS AP;APP QVD STAGE 1
APP;QVD - Transacciones OT - EBS EAM (Inc.) - EBS-S;APP QVD STAGE 1
APP;QVD - Resumen de Facturacion Taller - EBS EAM (Inc.) - EBS-S;APP QVD STAGE 1
APP;QVD - Reportes de Activos en Obras en Ejecucion - EBS FA - EBS-S;APP QVD STAGE 1
APP;QVD - Reclamos GMC - Excel SIG (No Inc.);APP QVD STAGE 1
APP;QVD - Recepciones Pollo Vivo FAE - Mtech BRIM (Inc.);APP QVD STAGE 1
APP;QVD - Recepciones de Cerdos - EBS INV (Inc.) - EBS-S;APP QVD STAGE 1
APP;QVD - Movimientos Contables - EBS GL (Inc.) SECCION 7 - MODULO TR - EBS-S - PERIODOAB;APP QVD STAGE 1
APP;QVD - Movimientos Contables - EBS GL (Inc.) SECCION 4 - MODULO INV - EBS-S - PERIODOAB - ANTERIOR;APP QVD STAGE 1
APP;QVD - Movimientos Contables - EBS GL (Inc.) SECCION 4 - MODULO INV - EBS-S - PERIODOAB - ANTE-ANTERIOR;APP QVD STAGE 1
APP;QVD - Movimientos Contables - EBS GL (Inc.) SECCION 1 - MODULO AP - EBS-S - PERIODOAB;APP QVD STAGE 1
APP;QVD - Horas Trabajadas - EBS EAM (Inc.) - EBS-S;APP QVD STAGE 1
APP;QVD - Estado Recibos - EBS AR (Inc.);APP QVD STAGE 1
APP;QVD - Descuentos - EBS QP (Inc.) - EBS-S;APP QVD STAGE 1
APP;QVD - Costo por Articulo Discreta - EBS INV (Inc.) - EBS-S;APP QVD STAGE 1
APP;QVD - Consumo Produccion - EBS - EBS-S;APP QVD STAGE 1
APP;QVD - BOL OM Detalle de Productos Pendientes por Org - EBS OM (Inc.) - EBS-S;APP QVD STAGE 1
APP;QVD - Balance Consolidado - EBS FSG (Inc.) - EBS-S - DIS;APP QVD STAGE 1
APP;QVD -  Lote Tipo Documento - EBS-S(CarlosM) - INCREMENTAL 2;APP QVD STAGE 1
APP;DP - Balance Consolidado - EBS;APP QVD STAGE 1
APP;QVD - Registro Llamadas - Avaya;APP QVD STAGE 1
APP;QVD - Pollito BB - Mtech BRIM (Inc.);APP QVD STAGE 1
APP;QVD - Historico Lista Precios - Excel Origenes QVDs (Inc.);APP QVD STAGE 1
APP;QVD - Depreciaciones Mensual Activos Fijos - EBS FA - EBS-S;APP QVD STAGE 1
APP;QVD - Balance Consolidado - EBS FSG (Inc.) - EBS-C - DIS;APP QVD STAGE 1
APP;QVD - Ajustes Manuales - EBS AR (Inc.) - EBS-S;APP QVD STAGE 1
APP;QVD - Ajuste de Costo - EBS (Inc.) - EBS-S;APP QVD STAGE 1
APP;QVD - Inf. Detallado de Costo de Articulos - EBS OPM (Inc.) - EBS-S;APP QVD STAGE 1
APP;QVD - Calendario Gregoriano - Oracle Custom (No Inc.);APP QVD STAGE 1
APP;QVD - Libro de Compras RND SFE - EBS AP - EBS-S;APP QVD STAGE 1
APP;QVD - Detalle de la Deuda - EBS TR (Inc.) - EBS-S;APP QVD STAGE 1
APP;DP - Ventas - EBS;APP QVD STAGE 1
APP;QVD - Rendicion Diaria de Ventas - EBS-S;APP QVD STAGE 1
APP;QVD - Retenciones - EBS AP (Inc.) - EBS-S;APP QVD STAGE 1
APP;QVD - Tesoreria TR4;APP QVD STAGE 1
APP;QVD -  MAYOR CONTABLE - ALTAS MASIVAS;APP QVD STAGE 1
APP;QVD - Recibos Rendicion Diaria EBS - EBS AR (No Inc.);APP QVD STAGE 1
APP;QVD - Retenciones - EBS PO (Inc.) - EBS-S;APP QVD STAGE 1
APP;QVD - Movimientos Contables - EBS GL (Inc.) SECCION 2 - MODULO AR - EBS-S - PERIODOAB ;APP QVD STAGE 1
APP;QVD - Maestro de Clientes - EBS AR (No Inc.) - EBS-S ;APP QVD STAGE 1
APP;QVD - Maestro de Articulos - EBS-S INV (No Inc.) - EBS-S;APP QVD STAGE 1
APP;QVD - Maestro de Activos - EBS INV (No Inc.) - EBS-S;APP QVD STAGE 1
APP;DWH  - Stock Discreta - EBS INV;APP QVD DATAWAREHOUSE
APP;DWH - Activos Fijos Costo Inicial Seguros - Excel Origenes;APP QVD DATAWAREHOUSE
APP;DWH - Asistencia Detallada - TR4 CC;APP QVD DATAWAREHOUSE
APP;DWH - Bajas - EBS INV;APP QVD DATAWAREHOUSE
APP;DWH - Balance por Empresa - EBS FSG;APP QVD DATAWAREHOUSE
APP;DWH - Contratos Vigentes y No Vigentes - TR4;APP QVD DATAWAREHOUSE
APP;DWH - Costos por Articulos - Excel;APP QVD DATAWAREHOUSE
APP;DWH - Cupones Promocion - EBS PV;APP QVD DATAWAREHOUSE
APP;DWH - Despacho Alimento - Mtech FMIN;APP QVD DATAWAREHOUSE
APP;DWH - Despacho+Transporte - EBS OM;APP QVD DATAWAREHOUSE
APP;DWH - Detalle de Batchs - EBS OPM;APP QVD DATAWAREHOUSE
APP;DWH - Devoluciones - EBS INV;APP QVD DATAWAREHOUSE
APP;DWH - Eventos - Green Mile Distribucion;APP QVD DATAWAREHOUSE
APP;DWH - Gestión de Control de Servicios Back Office - Google Forms;APP QVD DATAWAREHOUSE
APP;DWH - Historia Factura - EBS;APP QVD DATAWAREHOUSE
APP;DWH - Historico Lista Precios - Excel Origenes QVDs;APP QVD DATAWAREHOUSE
APP;DWH - Informe de Costos Unitarios - EBS OPM;APP QVD DATAWAREHOUSE
APP;DWH - Maestro de Clientes Historico -  EBS AR;APP QVD DATAWAREHOUSE
APP;DWH - Maestro de Motivos de Cancelacion Pedido - EBS OM (Inc.);APP QVD DATAWAREHOUSE
APP;DWH - Nacimientos PBB - Mtech HIM;APP QVD DATAWAREHOUSE
APP;DWH - Pedidos - EBS OM;APP QVD DATAWAREHOUSE
APP;DWH - Planilla Tributos - IDT;APP QVD DATAWAREHOUSE
APP;DWH - Recepciones y Contabilización - EBS INV;APP QVD DATAWAREHOUSE
APP;DWH - Registros Ordenes de Compras - EBS PO;APP QVD DATAWAREHOUSE
APP;DWH - Resumen y Consolidado de Pagos Liberados - EBS;APP QVD DATAWAREHOUSE
APP;DWH - Retenciones Diarias - EBS AP;APP QVD DATAWAREHOUSE
APP;DWH - Stock Disponible - EBS INV;APP QVD DATAWAREHOUSE
APP;DWH - Tesoreria - TR4;APP QVD DATAWAREHOUSE
APP;DWH - Transacciones - EBS INV;APP QVD DATAWAREHOUSE
APP;DWH - Transacciones N - EBS INV;APP QVD DATAWAREHOUSE
APP;DWH - Ventanas de Entrega - EBS OM;APP QVD DATAWAREHOUSE
APP;DWH - Ventas - EBS AR;APP QVD DATAWAREHOUSE
APP;DWH - Ventas Anuladas - EBS AR;APP QVD DATAWAREHOUSE
APP;DWH Activos Fijos - Informe de Obras en Ejecución SIN REV - EBS FA;APP QVD DATAWAREHOUSE
APP;DWH Almacenes - Balance de Comprobacion - EBS GL;APP QVD DATAWAREHOUSE
APP;DWH Aranda Intouch - API;APP QVD DATAWAREHOUSE
APP;DWH Auditoria - Balance de Comprobacion - EBS GL;APP QVD DATAWAREHOUSE
